"('mid',)","('averageRating',)","('numVotes',)"
tt0000878,5.0,167
tt0000882,5.8,202
tt0000895,5.6,198
tt0000904,5.4,111
tt0000922,5.6,105
tt0000924,6.1,165
tt0000938,4.6,176
tt0000942,6.1,956
tt0000960,4.7,274
tt0000966,5.7,337
tt0000971,6.4,146
tt0000986,5.1,109
tt0001001,5.5,124
tt0001009,6.5,932
tt0001013,5.9,371
tt0001014,5.1,109
tt0001016,5.2,134
tt0001032,6.0,840
tt0001044,5.7,107
tt0001062,6.2,1185
tt0001072,5.7,337
tt0001083,5.1,139
tt0001084,5.2,164
tt0001091,5.4,193
tt0001105,6.4,895
tt0001106,6.0,124
tt0001118,5.5,193
tt0001120,5.6,231
tt0001150,5.3,117
tt0001207,5.7,136
tt0001218,5.4,104
tt0001223,6.4,4107
tt0001227,5.8,250
tt0001256,5.8,536
tt0001258,5.8,141
tt0001265,6.4,515
tt0001314,5.8,155
tt0001371,5.9,395
tt0001378,6.0,208
tt0001431,6.3,741
tt0001439,5.9,253
tt0001452,5.5,201
tt0001458,5.8,190
tt0001463,5.7,1506
tt0001469,5.8,134
tt0001488,6.2,462
tt0001499,5.6,347
tt0001527,7.7,2823
tt0001544,6.0,710
tt0001545,6.1,132
tt0001557,4.8,101
tt0001588,5.4,204
tt0001593,6.3,359
tt0001594,6.4,321
tt0001613,5.3,155
tt0001660,5.7,207
tt0001680,5.1,596
tt0001681,4.8,276
tt0001724,5.8,259
tt0001737,7.1,1664
tt0001740,6.5,1180
tt0001771,5.5,150
tt0001776,6.7,191
tt0001789,6.3,266
tt0001857,5.7,211
tt0001892,5.8,231
tt0001913,5.5,220
tt0001915,5.7,114
tt0001963,5.5,147
tt0001973,6.1,273
tt0002020,4.6,130
tt0002054,5.9,207
tt0002056,6.8,157
tt0002082,6.1,392
tt0002083,6.1,263
tt0002098,5.9,144
tt0002101,5.1,529
tt0002113,6.9,968
tt0002122,6.2,306
tt0002124,5.0,362
tt0002130,7.0,2794
tt0002133,5.8,198
tt0002143,6.0,662
tt0002176,5.9,299
tt0002181,6.2,174
tt0002186,6.5,116
tt0002190,6.2,389
tt0002197,5.6,279
tt0002199,5.8,583
tt0002208,6.8,1186
tt0002221,6.8,394
tt0002224,5.1,144
tt0002233,4.6,137
tt0002260,6.3,1203
tt0002281,6.2,303
tt0002303,5.7,187
tt0002350,6.6,304
tt0002354,6.3,152
tt0002357,6.1,219
tt0002381,6.6,2227
tt0002386,5.9,149
tt0002391,6.3,850
tt0002400,5.7,243
tt0002408,6.2,305
tt0002415,5.9,588
tt0002421,6.1,111
tt0002423,6.6,883
tt0002429,6.2,172
tt0002445,6.2,357
tt0002452,6.4,239
tt0002461,5.7,275
tt0002475,7.1,102
tt0002497,6.2,111
tt0002512,6.3,371
tt0002544,5.8,208
tt0002553,6.5,863
tt0002569,5.3,232
tt0002610,4.8,138
tt0002639,6.1,169
tt0002646,6.6,406
tt0002659,5.3,783
tt0002663,6.0,375
tt0002719,5.4,116
tt0002795,6.1,559
tt0002813,5.3,318
tt0002816,5.9,115
tt0002844,6.9,2217
tt0002851,5.3,353
tt0002867,5.5,114
tt0002885,6.0,108
tt0002898,6.9,140
tt0002983,6.0,489
tt0002985,6.1,338
tt0002990,5.6,160
tt0003014,7.0,1193
tt0003016,5.5,101
tt0003037,6.9,1536
tt0003102,6.3,129
tt0003104,5.7,297
tt0003106,5.6,106
tt0003131,6.7,154
tt0003165,6.9,1205
tt0003167,5.7,251
tt0003170,6.5,791
tt0003177,4.8,148
tt0003214,6.2,271
tt0003238,5.4,127
tt0003311,6.0,377
tt0003330,6.3,110
tt0003360,5.4,101
tt0003399,4.9,288
tt0003419,6.4,2056
tt0003424,7.4,1702
tt0003471,6.0,674
tt0003489,6.1,557
tt0003512,5.0,159
tt0003615,5.8,125
tt0003637,6.2,446
tt0003643,6.4,1271
tt0003657,6.5,197
tt0003662,6.2,841
tt0003679,5.4,1579
tt0003733,4.8,1122
tt0003734,5.2,262
tt0003740,7.1,3494
tt0003758,5.7,1340
tt0003760,5.7,978
tt0003772,6.1,1014
tt0003805,5.4,1288
tt0003839,6.6,353
tt0003863,5.9,1026
tt0003883,7.3,374
tt0003923,5.2,1045
tt0003930,6.8,1308
tt0003934,5.4,958
tt0003949,5.2,188
tt0003952,6.7,1076
tt0003961,5.6,1527
tt0003969,5.3,222
tt0003973,5.8,250
tt0004007,5.6,833
tt0004008,7.1,3282
tt0004011,5.5,887
tt0004026,6.8,1156
tt0004039,5.5,125
tt0004052,7.0,108
tt0004060,5.1,111
tt0004066,6.8,599
tt0004074,5.7,263
tt0004091,5.0,1100
tt0004099,5.3,480
tt0004100,6.0,1015
tt0004101,5.9,1244
tt0004102,5.3,916
tt0004108,6.2,850
tt0004134,6.5,602
tt0004150,5.8,476
tt0004181,6.2,1356
tt0004189,5.7,2968
tt0004194,5.7,1316
tt0004210,5.6,1468
tt0004212,5.6,204
tt0004277,5.6,899
tt0004279,5.6,383
tt0004280,5.4,963
tt0004282,5.6,1289
tt0004284,5.6,1692
tt0004286,5.2,308
tt0004288,5.5,2032
tt0004311,5.9,1380
tt0004390,5.8,102
tt0004393,6.7,103
tt0004395,6.1,1062
tt0004408,5.6,108
tt0004413,6.4,403
tt0004457,5.4,473
tt0004465,6.3,1026
tt0004499,5.7,827
tt0004518,5.0,1087
tt0004546,6.2,1630
tt0004635,5.7,972
tt0004637,5.3,915
tt0004670,5.2,1257
tt0004681,6.0,231
tt0004693,5.4,1038
tt0004707,6.3,3496
tt0004712,6.2,197
tt0004730,8.0,179
tt0004736,5.7,1267
tt0004743,5.5,155
tt0004766,5.6,215
tt0004825,6.4,301
tt0004838,5.8,176
tt0004872,6.6,249
tt0004873,6.2,507
tt0004936,6.7,1976
tt0004971,5.4,143
tt0004972,6.2,24300
tt0005044,5.8,1721
tt0005059,6.5,126
tt0005060,6.4,995
tt0005074,6.7,2394
tt0005077,6.0,1683
tt0005078,6.5,2539
tt0005084,6.4,107
tt0005147,5.3,125
tt0005149,6.0,294
tt0005198,6.0,332
tt0005204,5.9,111
tt0005205,5.2,131
tt0005214,5.2,119
tt0005220,5.8,161
tt0005246,6.3,123
tt0005302,6.5,203
tt0005309,5.7,240
tt0005310,5.7,296
tt0005312,5.6,176
tt0005313,6.0,250
tt0005314,5.7,267
tt0005315,6.2,209
tt0005317,6.2,377
tt0005336,5.4,407
tt0005339,5.7,918
tt0005354,5.7,172
tt0005402,6.7,230
tt0005414,6.7,260
tt0005436,5.2,126
tt0005489,6.1,1833
tt0005529,6.7,339
tt0005542,5.6,1575
tt0005557,6.7,378
tt0005571,5.9,1293
tt0005622,6.7,176
tt0005654,5.1,156
tt0005660,5.3,140
tt0005661,6.0,118
tt0005675,5.7,113
tt0005676,6.1,270
tt0005677,5.7,233
tt0005678,5.8,246
tt0005679,5.1,216
tt0005680,5.9,171
tt0005719,5.5,187
tt0005753,4.9,141
tt0005809,6.9,322
tt0005810,5.9,1714
tt0005812,6.5,2067
tt0005864,5.6,196
tt0005891,4.9,114
tt0005910,5.6,1140
tt0005916,6.8,897
tt0005951,6.8,719
tt0005955,5.5,104
tt0005960,6.8,1270
tt0006032,6.2,1523
tt0006115,5.3,168
tt0006145,5.3,210
tt0006177,6.9,3318
tt0006182,6.1,107
tt0006206,7.3,4703
tt0006296,5.5,157
tt0006309,6.4,1763
tt0006313,6.2,1648
tt0006327,5.9,186
tt0006333,6.1,1735
tt0006349,5.8,324
tt0006357,6.5,101
tt0006405,6.6,412
tt0006414,7.0,2744
tt0006449,5.5,132
tt0006482,6.4,107
tt0006494,6.1,178
tt0006509,5.3,591
tt0006517,5.9,362
tt0006548,6.6,2243
tt0006562,5.8,171
tt0006589,6.7,161
tt0006614,6.5,228
tt0006617,6.1,256
tt0006664,5.1,102
tt0006668,6.7,444
tt0006684,6.5,2588
tt0006688,6.5,184
tt0006689,6.6,2396
tt0006731,5.9,644
tt0006736,6.6,232
tt0006745,6.4,516
tt0006753,6.7,189
tt0006764,6.4,287
tt0006780,6.7,963
tt0006801,5.4,175
tt0006809,6.0,165
tt0006826,5.9,893
tt0006864,7.7,15261
tt0006886,7.3,981
tt0006978,5.2,300
tt0006997,6.0,101
tt0007047,6.3,622
tt0007098,6.1,110
tt0007108,6.8,909
tt0007145,7.1,3271
tt0007162,7.1,3368
tt0007177,4.3,122
tt0007183,6.7,719
tt0007194,6.5,1782
tt0007257,5.5,604
tt0007260,6.3,177
tt0007264,7.1,3743
tt0007309,5.6,234
tt0007338,6.3,402
tt0007340,6.9,562
tt0007361,6.3,401
tt0007367,5.8,548
tt0007368,6.3,107
tt0007433,6.7,509
tt0007439,5.4,182
tt0007459,6.6,112
tt0007476,5.1,1082
tt0007507,6.9,2863
tt0007522,5.7,134
tt0007530,6.8,191
tt0007558,6.2,720
tt0007567,5.3,186
tt0007610,5.8,321
tt0007613,7.3,4042
tt0007617,5.6,110
tt0007624,5.6,158
tt0007686,6.6,223
tt0007709,5.3,141
tt0007720,6.0,155
tt0007755,6.0,569
tt0007761,6.3,1587
tt0007764,6.0,288
tt0007801,6.6,358
tt0007802,5.9,182
tt0007819,6.3,1633
tt0007832,7.1,3518
tt0007880,7.5,5286
tt0007983,6.2,167
tt0008011,6.2,162
tt0008099,5.8,119
tt0008100,6.4,696
tt0008112,5.9,1059
tt0008133,7.6,8282
tt0008150,6.4,585
tt0008188,6.3,683
tt0008196,6.2,692
tt0008212,5.6,161
tt0008252,6.3,112
tt0008279,6.3,131
tt0008309,6.7,308
tt0008377,5.9,938
tt0008381,8.6,108
tt0008395,6.8,539
tt0008401,5.7,171
tt0008443,6.7,1414
tt0008458,6.5,105
tt0008489,6.5,163
tt0008498,6.4,107
tt0008499,6.3,848
tt0008500,6.2,210
tt0008519,6.2,821
tt0008523,5.7,1302
tt0008536,6.8,191
tt0008541,5.4,106
tt0008550,6.1,118
tt0008561,6.2,109
tt0008634,6.3,527
tt0008639,5.7,145
tt0008652,6.0,142
tt0008663,7.3,1928
tt0008672,6.0,218
tt0008679,5.3,504
tt0008687,6.2,172
tt0008688,7.7,138
tt0008710,6.7,213
tt0008775,6.5,631
tt0008800,6.8,116
tt0008811,5.1,195
tt0008827,6.2,800
tt0008843,5.8,157
tt0008844,6.2,330
tt0008854,5.4,644
tt0008874,6.7,1239
tt0008879,7.2,1826
tt0008884,6.5,166
tt0008891,6.9,905
tt0008892,6.0,105
tt0008907,5.4,1072
tt0008930,5.9,155
tt0008950,5.9,355
tt0008955,8.4,111
tt0008961,6.1,224
tt0008975,6.6,1572
tt0009014,5.9,187
tt0009018,7.7,8435
tt0009026,6.4,118
tt0009045,5.6,110
tt0009062,6.1,580
tt0009086,5.5,311
tt0009088,5.9,135
tt0009099,6.4,156
tt0009105,6.0,306
tt0009109,6.4,112
tt0009123,6.1,1106
tt0009150,6.6,994
tt0009153,6.1,257
tt0009171,6.1,156
tt0009241,5.8,630
tt0009246,5.7,294
tt0009316,6.5,186
tt0009326,6.5,146
tt0009356,5.4,660
tt0009369,6.1,1120
tt0009389,5.8,753
tt0009434,5.8,272
tt0009440,6.3,216
tt0009466,6.4,1036
tt0009475,5.2,517
tt0009522,5.7,121
tt0009559,6.3,395
tt0009608,5.6,739
tt0009611,7.3,6698
tt0009620,6.9,1137
tt0009629,5.4,117
tt0009652,6.9,1465
tt0009678,6.5,511
tt0009682,5.8,809
tt0009694,6.3,106
tt0009701,7.0,367
tt0009732,5.7,301
tt0009737,6.0,131
tt0009796,6.7,312
tt0009878,7.0,1278
tt0009887,6.9,1097
tt0009892,6.1,1147
tt0009893,7.2,1918
tt0009894,7.0,206
tt0009899,6.6,1220
tt0009900,6.2,922
tt0009915,7.3,290
tt0009932,6.0,821
tt0009937,6.9,1524
tt0009968,7.3,10169
tt0009969,6.4,147
tt0009973,6.9,1212
tt0009976,6.0,710
tt0009977,5.5,158
tt0009986,6.5,412
tt0009996,5.9,435
tt0010040,6.7,1408
tt0010057,6.6,3219
tt0010060,6.2,865
tt0010071,6.6,1215
tt0010072,5.6,202
tt0010103,5.8,681
tt0010108,6.8,164
tt0010137,6.2,737
tt0010146,6.9,1025
tt0010155,6.7,1329
tt0010162,6.7,234
tt0010180,6.8,109
tt0010193,6.0,723
tt0010195,6.8,289
tt0010206,6.6,112
tt0010208,5.6,698
tt0010219,4.9,398
tt0010221,6.0,794
tt0010227,6.4,549
tt0010233,5.7,139
tt0010247,7.1,1375
tt0010258,6.3,692
tt0010267,6.7,993
tt0010279,5.6,163
tt0010281,6.8,1442
tt0010298,7.1,162
tt0010307,7.7,1728
tt0010311,5.8,101
tt0010321,6.1,472
tt0010323,8.0,61988
tt0010386,6.3,121
tt0010391,6.8,259
tt0010418,7.0,1854
tt0010435,6.1,373
tt0010446,6.0,143
tt0010456,5.9,203
tt0010466,6.9,246
tt0010484,7.1,204
tt0010508,6.2,208
tt0010522,5.4,140
tt0010533,5.8,124
tt0010559,6.4,183
tt0010598,6.6,942
tt0010600,7.4,2016
tt0010632,5.4,231
tt0010635,5.8,631
tt0010656,5.6,282
tt0010662,5.4,459
tt0010680,6.3,268
tt0010726,6.5,1247
tt0010732,5.9,205
tt0010747,6.7,2989
tt0010755,6.9,231
tt0010757,7.3,273
tt0010806,7.0,1793
tt0010821,6.5,546
tt0010844,6.5,404
tt0010853,6.6,191
tt0010879,6.9,888
tt0010890,6.4,416
tt0010925,5.6,774
tt0010930,6.4,519
tt0010953,6.3,190
tt0010962,6.5,689
tt0010964,7.7,155
tt0010969,6.7,388
tt0011000,6.6,1261
tt0011058,6.2,121
tt0011063,6.6,112
tt0011071,7.1,3074
tt0011128,6.3,136
tt0011130,6.9,5325
tt0011131,5.4,168
tt0011144,6.8,1477
tt0011157,6.4,911
tt0011173,6.2,148
tt0011193,6.5,366
tt0011217,6.2,413
tt0011221,5.9,1008
tt0011223,6.7,926
tt0011237,7.2,7513
tt0011263,6.6,1287
tt0011267,5.2,295
tt0011293,6.9,1198
tt0011294,7.1,194
tt0011302,6.9,232
tt0011317,6.2,187
tt0011324,5.5,119
tt0011344,6.5,167
tt0011348,6.7,146
tt0011358,6.6,416
tt0011362,6.2,183
tt0011369,6.8,120
tt0011370,6.8,429
tt0011371,6.4,331
tt0011387,6.7,1271
tt0011414,5.7,164
tt0011415,6.0,159
tt0011439,7.1,2483
tt0011440,6.5,234
tt0011474,6.6,180
tt0011499,7.1,125
tt0011508,7.6,4107
tt0011513,5.7,263
tt0011521,6.9,1114
tt0011541,8.1,7876
tt0011545,5.7,456
tt0011548,6.2,185
tt0011565,7.4,2356
tt0011588,6.4,445
tt0011607,7.1,1298
tt0011623,6.9,178
tt0011641,6.4,205
tt0011647,5.8,154
tt0011652,6.1,1565
tt0011656,7.8,4022
tt0011679,5.9,309
tt0011716,6.0,623
tt0011717,5.7,109
tt0011721,7.0,138
tt0011722,5.5,269
tt0011723,6.2,932
tt0011741,6.3,261
tt0011742,6.1,727
tt0011753,5.4,223
tt0011779,6.3,230
tt0011833,6.9,510
tt0011837,6.0,472
tt0011841,7.4,5430
tt0011848,6.6,103
tt0011865,6.7,1436
tt0011870,6.4,3060
tt0011904,6.8,1230
tt0011908,5.9,135
tt0011909,6.7,1298
tt0011922,6.6,772
tt0011948,6.8,431
tt0011960,6.9,1171
tt0011979,6.8,594
tt0011984,7.1,3203
tt0012016,6.9,187
tt0012027,6.5,988
tt0012068,6.8,460
tt0012122,5.5,185
tt0012123,6.8,429
tt0012125,6.6,128
tt0012134,7.0,441
tt0012136,6.5,301
tt0012175,6.3,311
tt0012187,6.5,167
tt0012190,7.2,3315
tt0012224,7.7,4251
tt0012249,7.0,464
tt0012253,7.0,2232
tt0012255,7.0,3027
tt0012278,7.6,3005
tt0012281,6.8,269
tt0012303,6.2,776
tt0012304,7.3,3712
tt0012313,6.8,344
tt0012314,6.7,298
tt0012320,7.0,290
tt0012334,6.7,252
tt0012347,5.8,242
tt0012349,8.3,123469
tt0012364,8.0,12130
tt0012382,6.1,314
tt0012397,6.8,326
tt0012408,6.4,377
tt0012409,6.6,109
tt0012465,6.8,368
tt0012467,6.6,181
tt0012486,6.1,279
tt0012494,7.6,5940
tt0012499,7.5,1812
tt0012512,6.7,821
tt0012513,6.5,264
tt0012532,7.4,5104
tt0012538,6.6,586
tt0012543,6.9,2917
tt0012570,7.5,4092
tt0012620,5.6,1341
tt0012631,6.6,185
tt0012642,6.8,1114
tt0012645,6.6,147
tt0012646,5.8,250
tt0012650,6.4,253
tt0012651,6.1,1827
tt0012657,6.5,106
tt0012675,6.3,3366
tt0012699,6.1,143
tt0012745,6.7,165
tt0012752,6.9,1009
tt0012755,6.8,190
tt0012763,7.1,1856
tt0012769,5.8,174
tt0012806,5.9,456
tt0012928,6.5,836
tt0012938,6.7,2329
tt0012945,6.9,2641
tt0012952,6.4,1373
tt0012973,6.9,690
tt0012975,6.3,283
tt0012985,6.6,103
tt0013014,5.5,419
tt0013025,7.6,6175
tt0013033,7.0,396
tt0013055,6.9,2365
tt0013059,6.4,460
tt0013075,7.1,1466
tt0013085,6.1,371
tt0013086,7.8,8229
tt0013099,7.2,2719
tt0013122,6.4,229
tt0013127,6.2,131
tt0013134,6.2,208
tt0013140,7.0,3528
tt0013149,5.0,310
tt0013158,6.5,2144
tt0013169,6.5,488
tt0013201,7.0,1800
tt0013223,4.9,297
tt0013257,7.6,13940
tt0013281,7.1,111
tt0013312,6.1,161
tt0013323,5.2,465
tt0013332,6.7,300
tt0013341,5.9,751
tt0013367,5.3,285
tt0013372,6.3,472
tt0013386,6.5,361
tt0013402,6.8,400
tt0013404,6.4,343
tt0013416,5.8,384
tt0013422,6.6,2108
tt0013427,7.6,11921
tt0013428,6.8,136
tt0013442,7.9,94399
tt0013450,6.7,861
tt0013458,5.4,148
tt0013469,6.4,273
tt0013472,7.8,497
tt0013486,7.5,4247
tt0013488,6.9,107
tt0013496,6.8,1760
tt0013512,6.9,116
tt0013515,6.8,520
tt0013520,5.3,279
tt0013556,7.1,2201
tt0013571,6.6,951
tt0013574,6.8,142
tt0013579,6.7,997
tt0013590,6.8,126
tt0013592,6.1,451
tt0013597,5.7,650
tt0013607,5.8,215
tt0013619,6.0,204
tt0013626,6.6,2498
tt0013662,7.1,475
tt0013674,7.0,571
tt0013688,6.5,739
tt0013690,4.8,131
tt0013704,6.0,185
tt0013705,5.5,162
tt0013730,6.9,137
tt0013735,5.3,112
tt0013741,6.6,539
tt0013750,6.7,1033
tt0013800,7.6,117
tt0013802,6.2,405
tt0013807,6.4,247
tt0013817,6.5,112
tt0013823,6.4,699
tt0013830,7.0,183
tt0013834,6.7,105
tt0013845,6.9,415
tt0013846,6.7,122
tt0013858,6.6,2878
tt0013865,6.8,122
tt0013868,6.9,130
tt0013909,5.6,357
tt0013916,6.7,131
tt0013933,7.5,1270
tt0013951,6.7,629
tt0013973,6.2,145
tt0013982,6.7,104
tt0013992,5.5,811
tt0013994,6.2,231
tt0014014,6.9,132
tt0014029,6.7,1149
tt0014063,7.1,582
tt0014108,7.0,173
tt0014109,7.0,1241
tt0014112,5.1,146
tt0014142,7.2,5343
tt0014179,5.7,109
tt0014186,6.1,106
tt0014205,6.5,1004
tt0014218,6.9,2249
tt0014320,6.5,115
tt0014321,5.3,104
tt0014341,7.8,11067
tt0014358,7.3,4974
tt0014397,6.7,311
tt0014406,6.4,1967
tt0014407,5.7,432
tt0014416,6.5,410
tt0014417,7.5,2243
tt0014419,5.6,215
tt0014429,8.1,20161
tt0014440,7.1,616
tt0014446,6.7,290
tt0014463,6.5,485
tt0014497,7.0,924
tt0014516,6.8,399
tt0014524,6.1,161
tt0014532,6.8,2242
tt0014538,7.0,4378
tt0014584,7.2,392
tt0014586,6.6,2038
tt0014604,6.4,194
tt0014605,6.9,465
tt0014606,6.1,193
tt0014607,5.7,111
tt0014611,7.4,1762
tt0014619,6.5,120
tt0014624,7.0,5380
tt0014636,6.6,856
tt0014646,6.4,2593
tt0014656,5.6,239
tt0014659,4.8,173
tt0014660,4.6,155
tt0014662,5.3,224
tt0014663,4.6,155
tt0014664,5.3,232
tt0014665,5.8,271
tt0014667,6.3,143
tt0014672,6.3,432
tt0014694,6.7,2972
tt0014702,6.6,465
tt0014721,5.9,213
tt0014760,7.0,238
tt0014763,6.8,186
tt0014770,6.6,251
tt0014826,5.6,162
tt0014854,6.8,158
tt0014869,6.9,659
tt0014872,7.3,3870
tt0014874,6.4,170
tt0014886,6.3,145
tt0014898,6.7,620
tt0014900,6.3,878
tt0014903,6.4,123
tt0014925,6.1,173
tt0014945,7.7,3382
tt0014967,6.8,114
tt0014972,7.8,3701
tt0014978,6.8,111
tt0014982,6.9,283
tt0014992,6.0,102
tt0015002,7.1,1375
tt0015014,7.2,878
tt0015016,7.2,2162
tt0015018,6.9,355
tt0015022,6.0,711
tt0015036,6.6,168
tt0015039,7.0,1049
tt0015064,8.0,13767
tt0015076,6.8,177
tt0015096,6.4,120
tt0015116,6.7,1072
tt0015119,7.1,1252
tt0015136,7.1,1809
tt0015145,6.0,490
tt0015163,7.6,9783
tt0015167,6.5,992
tt0015174,7.9,4403
tt0015175,8.1,5766
tt0015200,5.5,122
tt0015202,7.0,2856
tt0015213,6.6,163
tt0015214,7.2,1737
tt0015219,6.3,106
tt0015224,7.1,1055
tt0015228,6.1,149
tt0015268,7.2,479
tt0015289,6.1,215
tt0015310,7.2,535
tt0015312,6.3,234
tt0015324,8.2,47835
tt0015329,5.2,195
tt0015342,5.7,101
tt0015343,5.8,222
tt0015361,7.6,7825
tt0015378,6.7,120
tt0015384,6.0,1368
tt0015390,5.7,105
tt0015400,7.7,6083
tt0015409,6.6,134
tt0015431,6.8,174
tt0015477,5.6,271
tt0015493,6.1,235
tt0015498,6.8,508
tt0015500,6.5,379
tt0015518,8.0,149
tt0015532,7.8,6076
tt0015551,4.5,139
tt0015552,4.7,150
tt0015553,5.0,179
tt0015554,4.4,115
tt0015555,4.8,113
tt0015556,4.8,113
tt0015558,5.3,195
tt0015560,5.1,228
tt0015561,4.8,126
tt0015562,5.2,183
tt0015563,5.7,298
tt0015564,4.9,219
tt0015592,6.6,139
tt0015624,7.9,6674
tt0015634,6.2,1017
tt0015643,7.5,199
tt0015648,8.0,56670
tt0015673,7.1,1320
tt0015684,6.4,641
tt0015687,6.5,289
tt0015693,6.4,746
tt0015758,6.9,502
tt0015763,6.3,363
tt0015768,7.1,2036
tt0015772,6.6,1996
tt0015794,6.4,202
tt0015801,7.0,388
tt0015841,7.5,5460
