"('pid',)","('primaryName',)","('birthYear',)","('deathYear',)"
nm10605916,Rajeev Panackal,,
nm1060593,Adrian Tuli,,
nm10605932,Carey Barnes,,
nm1060596,Claudio Vanni,,
nm1060603,Dave Western,,
nm10606158,Ryôsuke Miyake,,
nm10606159,Yôichi Kamakari,,
nm10606160,Teje,,
nm1060620,Akshaya,,
nm10606242,Hassan Abu-Zaid,,
nm10606253,Mohammad Fershteh Nezhad,,
nm1060627,Becky Arnold,,
nm1060630,Jeong-yun Bae,,
nm1060633,Sarah Bannier,1990,
nm1060641,Sonja Bennett,1980,
nm10606413,Coral Gonzalez,,
nm10606414,Soledad Lasta,,
nm10606425,Owais Korai Baloch,,
nm10606481,Del Harvey,,
nm10606542,Federico Frágola,,
nm1060669,Nikka Costa,1972,
nm1060672,Kim D'Eon,,
nm1060681,Alexandra Dinu,1981,
nm1060691,Caroline Fogarty,,
nm1060692,Jean Fox,,
nm1060694,Jenny Frost,1978,
nm10606964,Jaime Comedi,,
nm10606965,Susana Palomas,,
nm10607011,Richard N. Roth,,
nm10607039,Sylena Rai,,
nm1060706,Dannielle Hall,,
nm1060707,Natsuki Harada,1984,
nm1060710,Nicholl Hiren,,
nm10607122,Nick Martineau,,
nm10607142,Boman Martinez-Reid,,
nm10607209,Satoshi Mizukami,,
nm10607222,Sara Lee,,
nm10607275,Hazel Collins,,
nm10607333,Livi Birch,,
nm10607439,Emilie Yili Kang,,
nm1060750,Liz McClarnon,1981,
nm1060751,Jessica Meyerson,,
nm1060760,Ashley C. Nelson,1977,
nm10607623,Valerio Lundini,,
nm10607649,Miki Sakurai,,
nm10607650,Negi Haruba,,
nm10607670,Keith Saylor,,
nm10607997,Masahiko Hatanaka,,
nm1060804,Ana Stefanovic,1975,
nm1060808,Susanne Stuart,,
nm10608192,Ryan Verniere,,
nm10608210,Karen Akers,,
nm1060823,Ros Wood,,
nm10608293,Donovan Chamberlin,,
nm10608303,Emanuell Navar,,
nm10608306,Hou Qiming,,
nm1060835,Bruce Degen,,
nm10608373,Lara Martorell,,
nm1060841,Shane Gilbert,,
nm1060843,Heather Hudson,,
nm10608447,Irene,,
nm10608481,Lucia Lucas,,
nm10608482,Sarah V. Buckner,,
nm10608483,Trey McIntosh,,
nm10608539,Vladimir Popovic,,
nm10608540,Bojan Perisic,,
nm10608544,Anatola Howard,,
nm1060857,Janie Parker,,
nm10608619,Aamir Lal,,
nm10608691,Ashish Trivedi,,
nm10608731,Manasvi Vashisht,,
nm10608733,Sahil Sambyal,,
nm10608737,Lydia Walters,,
nm10608740,Angel Bhandari,,
nm10608750,Afreen Siddiqui,,
nm10608751,Kanan Sharma,,
nm10608752,Kajal Sharma,,
nm1060876,Peter Le Page,,
nm10608819,Maria Cabo,,
nm10608820,Daniel Boluda,,
nm10608856,Phillip Smith,,
nm10608857,Cheuk Piu Champi Lo,,
nm10608938,Adrija Addy Roy,,
nm1060894,Dan McMellen,,
nm10608963,Saibal Banerjee,,
nm10608973,Gourab Chatterjee,,
nm10609019,Juan D'Amico,,
nm1060902,Gareth Unwin,,
nm10609021,Bente Kvile Buflod,,
nm10609067,Ridwan Remin,,
nm10609088,Jelena Andonovic,,
nm1060911,Ron DeVeaux,,
nm1060913,Graham Fowler,1949,
nm1060915,Alex Holdridge,1975,
nm1060920,Fernando Nunes,,
nm1060922,Tyler Oliver,,
nm1060923,Bill Otto,,
nm1060927,Dani Purer,,
nm1060928,Graham Steele,,
nm10609290,Lawrence,,
nm1060930,Brandon Trost,1981,
nm1060931,Hitoshi Yamaguchi,,
nm10609388,Urvi Singh,,
nm1060939,Pál Gyöngy,1902,1990
nm1060944,Marko Matovic,,
nm1060945,Minos Matsas,,
nm1060947,Allyson Newman,,
nm1060949,David Ogilvy,,
nm10609497,Golam Sohrab Dodul,,
nm1060955,Jens Thoresen,,
nm10609668,Jung Han-hae,,
nm1060969,Bryan Enk,1974,
nm10609706,Florencia Contreras Stevens,,
nm1060971,Sílvia Fraiha,,
nm1060975,Keiichi Hara,1959,
nm1060978,Kirsty Lyall,,
nm1060979,Boris Miljkovic,1956,
nm1060980,Vincent Monnet,,
nm1060983,Hilde Olsen,,
nm1060984,Vanessa Parise,1970,
nm10609850,Yoon-Kyo Choi,,
nm1060986,Luis Prieto,1970,
nm10609890,Suhad Nierat,,
nm1060994,Seth Wiley,,
nm1060995,Julie Wyman,,
nm1060997,Pedro Amorim,1977,
nm1061001,Leigh Christopher,,
nm1061002,Andre Fabrizio,,
nm1061006,Yukiko Itô,,
nm1061007,Ulrike Kofler,,
nm1061011,Ugo Micheli,,
nm1061015,Fred Ricci,,
nm10610197,Ethan Lewis,,
nm10610347,Horacio Garduño,,
nm1061038,Stephen K. Amos,,
nm10610414,Rakesh Dang,,
nm10610459,Nicole Nwokolo,,
nm10610490,Jung Da-Won,,
nm10610566,Jesse Chatham,,
nm10610578,Selin Genç,,
nm1061079,Andrew Brenner,,
nm10610792,Carina DeAngelo,,
nm10610807,Richard Surroz,,
nm10610808,Travis Jank,,
nm1061086,Charles Burbage,,
nm10610892,Xiao Xing,,
nm1061091,Josh Campbell,,
nm10610962,Lawrence Otis Graham,1961,2021
nm10611028,Sahana Dutta,,
nm10611073,Debbie Padilla,,
nm10611087,Anupam Hari,,
nm10611182,David Alvarado,,
nm10611363,Takuya Kawasaki,,
nm10611364,Kazuhiko Hiramaki,,
nm10611439,Kathy Khanh,,
nm1061148,Brad Follmer,,
nm10611486,Andrea Santamaria,,
nm10611487,India Coenen,,
nm10611509,Muhammad El-Dib,,
nm10611547,Philipp Weyer,,
nm10611598,Anwar Chaudry,,
nm10611615,Justin Brown,,
nm10611617,Phillip Buddenmeyer,,
nm1061162,Gregg Goodwin,,
nm1061163,Dan Goyens,,
nm10611632,Asia McClain Chapman,1981,
nm1061176,Mary Hanley,,
nm10611783,Shahar Tavoch,,
nm1061181,Melissa Hays,,
nm10611814,Arash Ashjah Mahdavi,,
nm10611827,Supriya Joshi,,
nm1061188,Chad Hicks,,
nm1061192,Hiroshi Nagahama,,
nm10611942,Jules Milo Levy Mackerras,,
nm10611965,Céleste Brunnquell,,
nm1061205,Jina Jones,1980,
nm10612095,Ghaleb Jaber Martínez,,
nm1061220,Angela Kovacs,1964,
nm1061228,John Lei,,
nm10612280,Rama Prabha,,
nm10612322,Shim Dal Gi,,
nm1061242,Darrell MacDonald,,
nm10612536,Deniz Evin,,
nm10612567,Metehan Sahiner,,
nm10612592,Burcu Oktav,,
nm1061260,Katy McLaughlin,,
nm1061266,Hollis Meminger,,
nm1061268,Mark Merthe,1970,
nm10612738,Ziyad Hawwas,,
nm10612799,Winnie Marshall,,
nm10612808,Yuriy Abbakumov,,
nm10612809,Larisa Blazhko,,
nm10612944,Tom Langlands,,
nm10613008,James Anthony Tyler,,
nm10613023,Diego Acorssi,,
nm10613064,Sandro Bitetto,,
nm10613127,Dan Goldman,,
nm1061324,Aaron Reid,,
nm1061326,Lynn Reist,,
nm10613272,Jerald A. Hanson,,
nm10613274,Jaymi Hanson Watson,,
nm1061328,Olivia Retzer,,
nm1061333,Matt Rocker,1974,
nm10613482,Izzy Palazzini,,
nm10613486,Todd Larson,,
nm10613487,Griffey Larson,,
nm10613499,Malakani Severson,,
nm1061353,Lisa Shaw Phillips,,
nm10613553,Seth Denson,,
nm10613578,Sykotic,,
nm10613579,Catalyst Exe,,
nm1061362,David S. Smith,,
nm10613688,Pascale Renaud-Hébert,,
nm10613691,Ignacio Solmonese,,
nm10613692,Valentina Posleman,,
nm10613694,Andrés Medina,,
nm1061371,Andrew Tan,,
nm10613710,Xiaoyan Yang,,
nm10613726,Christopher Lee Baskerville,,
nm1061376,Bryan Thompson,,
nm10613843,Parinoush Sani'i,,
nm10613847,Mehdi Yarazizi,,
nm10613903,Parivesh Padhy,,
nm10613977,Sara Karnes,,
nm1061400,Danny Warren,,
nm1061402,Matthew Watts,,
nm1061407,Richard Weston,,
nm1061412,Cory Wilson,,
nm10614145,John Reid,,
nm1061418,Micah Wright,1969,
nm10614212,Bill Warner,,
nm10614258,Gregory Cooper,,
nm1061432,Tatsuya Ono,,
nm1061436,Peter Spring,,
nm1061443,Elizabeth A. Bardsley,,
nm1061444,Richard Baumgartel,,
nm1061445,Alison Blank,,
nm1061446,Marcelo Braga,,
nm10614464,Mariya Shcherbinina,1990,
nm1061450,Carol Corwin,,
nm10614555,Naira Shah,,
nm10614583,Henry Tsai,,
nm10614585,Srinivas,,
nm10614587,Chalaki Chanti,,
nm1061460,Flavia González,,
nm1061465,Jim Hense,,
nm1061468,Sidney Kirkpatrick,,
nm1061469,David A. Kleiler Jr.,,
nm10614803,Pete Lawrence,,
nm1061484,Laurent Taïeb,,
nm1061487,Ron Waranch,,
nm10614872,Rachelle Federico,,
nm1061488,Joseph Weill,,
nm10614977,Luke Pedder,,
nm10614978,Joshua Pedder,,
nm10614979,John Pedder,,
nm10614980,Christopher Goldup,,
nm10614981,Michael Holmes,,
nm10614982,Jaxon Green,,
nm10614985,Jo Hyuk-sub,,
nm10614987,Andrew Royce Beasley,,
nm1061501,Shakeel Ahmed,,
nm1061513,Ángeles Castro,,
nm10615157,Arisa Sekine,,
nm10615349,Michael Kayne,,
nm10615350,Sara Farber,,
nm10615371,Katarina Zivanovic,,
nm10615454,Dorothy Forrest Trumbo,1915,2018
nm10615481,Davia Carter,,
nm1061554,Glen Matisoff,1963,
nm1061561,Oliver Neumann,,
nm10615622,Dj Amorim,,
nm1061563,Soon Hee Newbold,1974,
nm10615860,Paul Robertson,,
nm1061601,Danny Hargreaves,,
nm10616141,Noah Miller,,
nm10616157,Luwam Teklizgi,,
nm1061622,Robert Carlock,,
nm1061623,Philippe Claudel,1962,
nm1061624,Joanne Cole,1934,1985
nm1061625,Niclas Ekström,,
nm1061627,Dieter Finnern,1919,2013
nm10616275,Houman Kabiri,,
nm1061628,S.L.A. Marshall,,
nm1061629,Brad Munson,,
nm10616308,Matt Holmes,,
nm1061631,Njeri Njuhigu,,
nm1061632,Sérgio Porto,1923,1968
nm10616328,Claudine Griggs,,
nm1061633,Debra Pratt,,
nm1061636,Mark Sumner,,
nm1061638,Ivan Tell,,
nm1061639,Steve Tomas,,
nm1061640,Andrejs Upits,1877,1970
nm1061643,Guy Zimmerman,,
nm10616465,Nevile Ferdous Hasan,,
nm10616466,Shariful Islam,,
nm1061647,Steve North,1965,
nm10616521,Harsh Beniwal,,
nm10616523,Seamus Collins,,
nm10616565,Fermín Solís,,
nm10616645,Addison Tymec,,
nm10616651,Ben Callner,,
nm10616654,Joe Kell,,
nm10616655,Alex Pirrone,,
nm1061672,Brandon Dean,1980,
nm1061673,Tom Delaney,,
nm10616752,Roshi Hoss,,
nm10616839,Ageha Kochoran,,
nm1061704,Jonas Grey,,
nm1061709,Robert Salerno,,
nm1061711,Juan Sanz,1973,
nm10617113,Tania Lotia,,
nm1061724,Pedro Vasconcelos,,
nm10617378,Kei Sasuga,,
nm10617492,Reece Berresford,,
nm10617543,Timothy Laman,,
nm10617557,Gemilang Dini Ar-Rasyid,1990,
nm10617573,David McKay,,
nm10617634,Frederick Feirstein,,
nm10617638,Sergey Abarok,,
nm10617683,Aiden Girlow,,
nm10617765,Ann Kittner,,
nm10617766,Harryette Helsel,,
nm1061778,Robert Johnson,1973,
nm1061780,Bill Baxter,,
nm1061781,Luiz Macedo,1959,
nm1061784,Vera Jocic,,2006
nm1061795,Don Briggs,,
nm10618211,Navneet Hullad Moradabadi,,
nm1061823,James Morris,,
nm1061848,Charles Bishop,,
nm10618485,Abdulghani El-Nagdi,,
nm1061850,David Hart,,
nm1061851,Simon Smith,,
nm1061854,Bill Wilson,,
nm10618561,Rui Reis Maia,,
nm1061869,Tony Wolf,,
nm1061873,James B. Gordon,,
nm1061874,David Houston,,
nm1061877,George Mills,,
nm1061878,Mark Ryan,,
nm1061879,Kazue Abe,,
nm1061884,Kim Abunuwara,,
nm10618856,Shilpa Ganji,,
nm1061887,Diane Ademu-John,,
nm10618898,Davi de Oliveira,,
nm1061895,Yun-hyeok Ahn,,
nm1061902,Moe Alkaff,,
nm10619022,The Defiant One,,
nm10619048,Narendra Hirawat,,
nm10619103,George Shea,,
nm1061911,Dejan Andjelkovic,,
nm1061914,Darren Andrichuk,,
nm1061916,Deepak Anjaria,,
nm1061919,Yûzô Aoki,,
nm1061929,Ashok,,
nm1061938,Ken'ichi Baba,,
nm10619390,Mr. Toad,,
nm1061940,Sofia Bach,1973,
nm10619484,T.L. Thompson,,
nm10619533,Stewart McCracken,,
nm1061965,José Eduardo Belmonte,1970,
nm1061969,Yoel Ben-Simhon,,
nm10619699,Daniel Stolba,,
nm1061971,Mathias Benguigui,,
nm10619725,James Heyes,,
nm10619865,Ritesh,,
nm10619866,Latisha,,
nm10619867,Sarah,,
nm10619868,John,,
nm10619869,Tina,,
nm10619870,Ben,,
nm10619871,Rhiannon,,
nm10619872,Ennis,,
nm1061989,Udo Blass,,
nm1061991,Lorena Bobbitt,1970,
nm1061992,Jesse Bochco,1975,
nm1061993,Christoffer Boe,1974,
nm10619945,Scott Mayne,,
nm10619946,Victoria Pedder,,
nm1061996,Nando Bolognesi,,
nm1061997,Rodrigo Bolzan,,
nm10619997,Younes Hamidi,,
nm1062000,Jérôme Bonnell,1977,
nm10620025,Nathan Clark,,
nm1062008,Wayland Geremy Boyd,,
nm10620101,Joan of Arc,1412,1431
nm1062012,Norman Douglas Bradley,,
nm1062017,Yangzom Brauen,1981,
nm10620170,Hyuk-Moon Yang,,
nm10620194,Ashok Pandey,,
nm10620229,Manish Gakare,,
nm10620258,Aaron Contreras,,
nm10620262,Will Allen,,
nm10620287,Rebecca Aldworth,,
nm10620378,Kristiana Zhekova,,
nm10620379,Anthony Reese,,
nm10620428,Tom Moran,,
nm10620539,Aysin Isimer,,
nm10620540,Görkem Gürlevik,,
nm10620541,Ozan Çiçek,,
nm1062059,Lionel D. Carson,1969,
nm1062063,Agostino Castiglioni,,
nm10620635,Kavya Krishnaswamy,,
nm10620636,Sudesh Unniraman,,
nm10620640,Sumitra Ray,,
nm10620643,Faisal H. Bhatt,,
nm1062068,André Ceccato,1960,2021
nm1062074,Luc Chapdelaine,,
nm10620749,Damien Knightley,,
nm10620791,Jack Christou,,
nm1062080,Saket Chaudhary,,
nm10620824,Cheng-Yang Wu,,
nm1062088,Kristy Clark,,
nm10620934,Selorm Dotse Kudiabor,,
nm1062096,Henri Colline,,
nm10620978,Sidney Flanigan,1998,
nm1062098,Melanie Comarcho,,
nm1062101,Carmen Consoli,1974,
nm10621045,Jennifer Edwards,,
nm1062114,Vanessa Ballard,,
nm10621294,Mikkel Rosendal,,
nm1062134,Sebastian Danneborn,,
nm10621364,Ena Basic,,
nm10621379,Fatima Silva,,
nm10621428,Bruce Ogilvie,,
nm1062147,Esperanza De la Vega,,
nm1062156,Fred Dekom,,
nm1062169,Yogita Deshmukh,,
nm1062181,Mario Diament,1942,
nm1062188,Yves Dinse,,
nm1062195,J.D. Donaruma,,
nm10622004,Ashraf Hamza,,
nm10622034,Tiara Johnny,,
nm10622092,Jason Sedlar,,
nm10622120,Robert Alexander,,
nm1062224,Meir Eshel,,
nm10622244,Taras Tsimbalyuk,1989,
nm10622251,Stephanie Stanziano,,
nm10622265,Jordan Kristine Seamón,,
nm1062231,Nathalie Eybrard,,
nm1062242,Mark Fennessy,,
nm10622427,Dev,,
nm1062248,Michael Fissneider,,
nm1062251,Brett Fleisher,1985,
nm10622559,Clifford White,,
nm1062259,Shawn Fonteno,1968,
nm10622630,Anurag Pandey,,
nm10622678,Onder Sengul,,
nm10622683,Ugyen Norbu Lhendup,,
nm10622687,Sherab Dorji,,
nm10622690,Pem Zam,,
nm10622692,Kelden Lhamo Gurung,,
nm10622707,Judi Young,,
nm1062271,Tod Frye,,
nm10622724,Jeffrey Daniels,,
nm10622860,Francis Fuselier,,
nm10622866,Priya Thampi,,
nm1062287,Pierre Gavarry,,
nm10622917,Muriel Del Don,,
nm10622918,Giorgia Del Don,,
nm10623006,Aoife Bower,,
nm1062303,Joseph Goldenberg,,
nm1062304,Sérgio Goldenberg,,
nm1062306,Steven James Golebiowski,,
nm10623067,Chandranath,,
nm10623094,Ting-Hsuan Chen,,
nm1062314,Rylend Grant,,
nm10623219,Bing Fu,,
nm10623301,Uzoamaka Aniunoh,,
nm10623308,Timendu Aghahova,,
nm10623309,Kunle-Toba Dada,,
nm10623318,Olayan Alamri,,
nm1062345,Winfried Hammelmann,1959,
nm1062351,Loretta Harms,,
nm1062361,Tsuyoo Hayashi,,
nm10623624,Stevan Divljan,,
nm10623625,Dina Djurovic Davico,,
nm1062366,Ross Helford,,
nm10623861,Rabih Aridi,,
nm10623864,Dan Wechsler,,
nm10623873,Joo Min-Kyung,,
nm1062389,Honor Hound,,
nm10624020,Lil Nas X,1999,
nm10624025,Citlalli A. Ruiz,,
nm1062403,Katsuo Inoue,,
nm1062406,Tadahiko Isogai,,
nm1062407,Aiko Isomura,,
nm1062409,Shûko Itô,,
nm10624090,Jonas Lang,,
nm10624127,Ji-Hyun Lee,,
nm1062418,Jasper Jan,1977,
nm10624196,Masataka Nishikawa,,
nm10624197,Kenji Kuroda,,
nm10624198,Atsuyuki Yukawa,,
nm10624199,Kosuke Hamada,,
nm10624207,Dagmar Stoeckle,,
nm1062423,Jae-eun Jeong,1969,
nm10624239,Marc Müller,,
nm10624306,Alaya High,2007,
nm1062445,Ken'ichi Kanemaki,,
nm1062446,Wakiko Kano,1956,
nm1062449,Mei Katô,1936,
nm10624516,Tuna Aktas,,
nm10624517,Derem Arpaci,,
nm1062454,Hattori Kazuyasu,,
nm10624588,Amitabh Krishna Ghanekar,,
nm1062463,Vincent Kesteloot,,
nm10624711,Mark D. Anderson,,
nm10624764,Mohamed Hany,,
nm10624812,Ashleigh Chrisena Ricci,,
nm10624813,Haley Carter Chapel,,
nm10624906,Mila Al Zahrani,,
nm10624907,Dae Al Hilali,,
nm10624955,Xilun Sun,,
nm10625029,Bobby Wilson,,
nm1062506,Ani Kyd Wolf,1969,
nm10625070,Bo Zhao,,
nm1062511,Ivar Kümnik,1969,
nm10625141,Venkat Ranganathan,,
nm10625142,Hema Rajkumar,,
nm10625143,Kumaran Thangarajan,,
nm10625145,Tobias Picker,,
nm1062520,Calen Lang,,
nm10625264,Martin Garwood,,
nm10625267,Mark Harvey,,
nm10625312,Ziyi Gao,,
nm10625325,Praveen Bennett,,
nm10625326,Arun Prasad,,
nm10625327,Sweety,,
nm10625328,Roshini Haripriyan,,
nm10625383,Daniel Markowicz,,
nm1062539,Mrs. M.F. Lee,,1929
nm1062545,Renato Lemos,,
nm10625483,Wanhui Liu,,
nm10625491,Kevin Brand,,
nm10625508,Alexandre Constant,,
nm10625513,Aurélien Lunion,,
nm1062552,Josef Lieck,1971,
nm1062555,Cecilia Lindqvist,,
nm1062556,Klaus Lintschinger,1960,
nm10625620,Basak Ozcan,,
nm10625637,Veera Badhram,,
nm10625642,Abban,,
nm1062565,Jay Longino,,
nm10625687,Nitin Jain,,
nm1062569,Sílvia Lourenço,,
nm10625697,Dick Gottlieb,,
nm10625698,John Masterson,,
nm1062577,Laurent Lunetta,,
nm1062583,Imre Madách,1823,1864
nm10625848,Dorababu,,
nm10625853,Vardhan,,
nm10625892,Jiayan 'Jenny' Shi,,
nm1062593,Yayoi Maki,,
nm10625931,Benjamin Bieneck,,
nm10626030,Shyn Khurana,,
nm1062606,Jess Margera,1978,
nm1062607,Bruno Margery,,
nm10626196,Gunay Ahmed,,
nm10626197,Elshen Esgerov,,
nm1062620,Shin'ichi Matsumi,,
nm1062622,Mikio Matsushita,1948,
nm1062626,Masataka Matsutôya,,
nm10626311,Hidekuni Horita,,
nm10626327,Gautam Moitra,,
nm10626337,Mark Calcott,,
nm1062634,Mary Jean Bentley,1972,
nm10626457,B.S. Basavaraj,,
nm1062648,Babboo Mehra,,
nm1062653,Renée Menschaar,1955,
nm1062661,Monty Mickelson,,
nm1062670,Helio Mira,,
nm1062673,Ranko Mizuki,,
nm10626749,Cade Garrett,,
nm1062682,Toshiaki Morita,,
nm1062686,J.M. Morris,,
nm1062692,Orange Music,,
nm1062693,Tohru Mutaguchi,,
nm1062701,Nobuyuki Nakamura,,
nm1062702,Kimie Nakashima,,
nm10627029,Meena Sethi Mondal,,
nm1062705,Norio Nanjo,1908,2004
nm1062710,Dani Nefussi,,
nm1062736,Stella Nwimo,,
nm1062742,Antonio Jose Ochoa,,
nm10627460,Tatiana Delaunay,,
nm1062747,Ji-young Ok,1980,
nm1062749,Toshikazu Ôgushi,,
nm1062756,K. Ramona Orr,,
nm10627631,Andy Wolstenholme,,
nm1062766,Chitra Palekar,,
nm1062775,Anne Kathryn Parma,,
nm10627753,John Patrick Leary,,
nm10627768,Debby Douillard,,
nm1062779,Eric Pauwels,1953,
nm1062783,Marcos Pedroso,,
nm1062784,Nicole Pellegroms,,
nm1062785,Akshay Pendse,,2012
nm10627927,Martin Strecker,,
nm1062797,Tine Grew Pfeiffer,,
nm1062801,Phyllis Piddington,1910,2001
nm1062807,Bert Plagman,1949,
nm1062814,Arnaud Potier,,
nm10628208,Lorenzo Bruno,,
nm10628313,Mel Jarnson,1998,
nm10628345,Anna Rubtsova,,
nm1062836,Nebojsa Radosavljevic,1966,
nm10628382,Mikhail Prishvin,,
nm1062847,Mads Elias Højberg Ravn,,
nm10628484,Shubham,,
nm10628542,Christine Mitchell,,
nm10628584,Zilvinas Naujokas,,
nm10628683,Eeryn Falk Lubicich,,
nm1062879,Shie Rozow,1972,
nm1062884,Robert Rzesacz,,
nm10628864,Pearl Jarrett,,
nm10628902,Lysa Welschen,,
nm1062891,Marie Sainvilvs,,
nm1062898,Micci L. Sampery,,
nm1062901,Renato Sanjuán,,
nm1062923,Lorenzo Senatore,1974,
nm10629304,Abi Nielson Hunsaker,,
nm10629315,Naomi Winders,,
nm10629316,Parker Kelly,,
nm10629406,Andrey Bocharov,,
nm1062948,Mathilde Simonsen-Hebrand,,
nm1062951,Siiri Sinnemäki,,
nm1062952,Christie Sistrunk,,
nm1062955,Douglas Slocum,1973,
nm1062956,Benjamin B. Smith,,
nm10629676,Jennifer Carroll Foy,,
nm10629679,Rob Rainey,,
nm1062971,Stephanie St. James,,
nm1062973,Danijela Stankovic,,
nm1062975,Janez Starina,1948,
nm10629754,Manny Domingo Jr.,,
nm10629755,Neill Le Roux,,
nm10629756,Rachael Speedy,,
nm10629758,Belli Naima,,
nm10629796,Tavares Walker,,
nm10629798,Mario Timmons,,
nm1062983,Thomas Matthew Stewart,,
nm10629845,Aubin Bradley,,
nm1062987,Kirsty Strain,1980,
nm1062989,Edward Stratemeyer,1862,1930
nm10629941,Connor Andrade,,
nm10629942,Rocco Amezcua,,
nm10629943,Camila Amezcua,,
nm10630088,Joyce Smith,,
nm1063011,Jean Ségani,,
nm10630117,Keira Bennett,,
nm1063017,Tak-Sam Leong,,
nm1063020,Takekuni Takano,,
nm1063028,Osamu Taniguchi,,
nm1063029,Kishô Taniyama,1975,
nm1063030,Chester Tankersley,,
nm1063036,Katsumi Teratô,,
nm10630368,Akhilesh Bhagat,,
nm1063038,Ashley Thewlis,1987,
nm1063040,Zoe Thorne,1984,
nm10630425,Sterling L. Pope,,
nm1063044,Rosie Tisch,1982,
nm1063047,Yoshiaki Tomita,,
nm10630496,Perrine Margaine,,
nm10630501,Yolanda Barlow,,
nm10630517,Tamil Arasan,,
nm1063057,Ira Trattner,,
nm10630576,Giuliano Brunazzi,,
nm1063072,Abbas Tyrewala,1984,
nm1063074,Shozo Uehara,1937,2020
nm10630893,Aaron Carter,,
nm10630956,Anjali Chadha,,
nm1063099,Lizbeth Velasco,,
nm10631138,Gordon Maeda,2000,
nm1063115,Jan Vromman,,
nm10631157,Tomiko Claire,2000,
nm10631182,Takeshi Shiota,,
nm1063120,Takashi Waguri,,
nm1063123,Christopher Crutchfield Walker,,
nm1063131,Catherine van Woerden,,
nm10631312,Harshad Joshi,,
nm1063135,Susanne Santoro Whayne,,
nm10631405,Robert McRae,,
nm10631417,Dylan Wheaton,,
nm1063144,Lucy Chase Williams,,
nm10631448,Carlos Coutinho Vilhena,,
nm10631479,Ricardo Matos Soares,,
nm1063152,Nikita Wokurka,1993,
nm10631571,Kathrin Hartmann,1972,
nm1063158,Cheng'en Wu,1506,1581
nm1063163,Masahito Yabe,1970,
nm1063165,Takeshi Yamaguchi,,
nm10631654,Eric Chase,,
nm10631660,Kanji Miyake,,
nm10631661,Takashi Takeuchi,,
nm1063168,Norio Yazawa,,
nm10631693,Nick Barzini,,
nm10631694,Mike Miller,,
nm10631700,Gen Satô,,
nm1063172,Takao Yotsuji,,
nm10631798,Louis Dunkin,,
nm10631813,Anat Ravnitzki,,
nm1063182,Julie Zangenberg,1988,
nm10631833,Stu Woolley,,
nm10631840,Issy Knopfler,,
nm1063191,Antônio de Freitas,,
nm1063199,Geoff van Rijssel,,
nm1063204,Hisako Ôkata,1939,
nm10632045,Zijing Guan,,
nm1063207,Seigo Ôta,,
nm1063214,Allen Alvarado,1996,
nm1063221,Tony Atlas,1954,
nm10632231,Supreet Nikam,,
nm1063224,Barry Bales,,
nm1063230,Glen Barry,1982,
nm10632394,Kaviya Mahesh,,
nm1063240,Ron Block,,
nm10632516,Rowena Sparks,,
nm1063253,Nicholas Brooks,1957,
nm1063262,David Chattam,1968,
nm1063263,Cristian Chivu,1980,
nm1063266,Evyn Clark,,
nm10632665,Margaret Wright,1921,1996
nm10632711,Pedro Ferreira,,
nm1063275,Lindo Damiani,,
nm10632860,Joseph Moreland,,
nm1063287,Doug Erholtz,1971,
nm1063296,Jerry Gershman,,
nm10633009,Thomas Bonk,,
nm1063303,David Guzzone,,
nm10633166,Andrew Sabistone,,
nm10633216,Yagmur Caner,,
nm10633301,Leon Gurvitch,,
nm10633315,Agathe Bosch,,
nm1063335,Martin Kiefer,1983,
nm10633396,Mustafa Konak,2012,
nm1063342,Robin Leong,,
nm1063345,Colin Linden,,
nm1063355,Paco Marín,1974,
nm1063367,Russell Morash,1936,
nm10633671,Hanning Lu,,
nm10633672,Yuan Yuan,,
nm10633673,Jiayu Tang,,
nm1063369,Adolfo Moura,,
nm10633710,Nan Wu,,
nm1063372,Erick Nathan,,
nm10633787,Zara Kay,,
nm10633790,Sonic Mayhem,,
nm10633791,Bill Brown,,
nm1063382,Pete Papageorge,,
nm10633834,Sekar Sai Bharath,,
nm10633835,Kapilan Kugavel,,
nm1063384,Charles Parish,,
nm1063390,Henrik Persson,,
nm1063393,Dmitriy Pokrovskiy,1944,1996
nm1063395,Chris Raab,1980,
nm1063397,Patrick Rapold,1975,
nm10633987,Swaroop Rsj,,
nm10634005,Tenpei Mishio,,
nm10634006,Ioko Ioannis Kotidis,,
nm1063407,Ariel Rivera,,
nm10634070,Teish Williams,,
nm1063422,Laurence Saunders,,
nm1063436,E.J. Smith,1850,1912
nm10634437,Suraj Ankolekar,,
nm10634514,Lucio Tavares,,
nm1063455,Darius Willis,,
nm1063458,Shohei Yamaguchi,,
nm1063462,Lawrence Zarian,1965,
nm1063471,Sharon Au,1975,
nm1063475,Alice Barry,1946,
nm10634765,Sanika Gadgil,,
nm1063477,Leena Bhagwat,,
nm10634770,Nihar Shantanu Bhave,,
nm10634803,Harish,,
nm1063492,Marta Cunningham,1971,
nm1063497,Adriana Domínguez,1976,
nm10634972,Ivan Konstantinov,,
nm1063500,Tracy Eisner,,
nm10635027,Jozef Gjura,,
nm10635058,Adam Kootman,,
nm10635062,Alisha Authbehari,,
nm10635092,Kieran Geary,,
nm1063517,Kathryn Hahn,1973,
nm1063535,Fumie Kitahara,1920,1980
nm1063537,Naomi Kline,1982,
nm10635426,Robyn Norris,,
nm1063545,Tiffany Lee,1982,
